State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"789,526","47,769,344","570,687","218,839","35,937,494","11,831,850",72.30%,61.18,"47,810,376","61,139,325","35,937,494","25,201,831"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"260,215","17,251,712","197,977","62,238","14,035,022","3,216,690",76.10%,49.87,"17,235,954","20,355,030","14,035,022","6,320,009"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"545,108","31,616,922","287,537","257,571","17,860,953","13,755,969",52.70%,62.39,"31,519,129","47,683,872","17,860,953","29,822,920"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"8,076","522,493","7,936",140,"514,118","8,375",98.30%,64.83,"523,233","530,959","514,118","16,840"
Australia,Australia,2024-25 Q3 (Mar Qtr),Practice Nurse,"782,602","12,881,029","767,584","15,018","11,880,339","1,000,691",98.10%,36.41,"12,360,509","13,427,886","11,880,339","1,547,547"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Practice Nurse,"226,894","3,532,339","223,446","3,448","3,329,984","202,356",98.50%,33.13,"3,432,267","3,646,581","3,329,984","316,597"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Practice Nurse,"162,674","2,499,183","159,104","3,570","2,228,349","270,834",97.80%,40.15,"2,354,946","2,642,535","2,228,349","414,186"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Practice Nurse,"187,916","3,313,107","182,573","5,343","2,918,459","394,648",97.20%,40.73,"3,096,531","3,530,743","2,918,459","612,283"
SA,South Australia,2024-25 Q3 (Mar Qtr),Practice Nurse,"63,148","910,317","62,464",684,"899,517","10,800",98.90%,4.75,"915,011","913,567","899,517","14,050"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Practice Nurse,"80,472","1,380,206","79,192","1,280","1,302,365","77,840",98.40%,33.36,"1,338,622","1,422,902","1,302,365","120,537"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Practice Nurse,"20,747","328,532","20,130",617,"287,506","41,025",97.00%,38.12,"307,034","352,053","287,506","64,547"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Practice Nurse,"36,419","852,458","36,412",7,"852,119",340,100.00%,54.42,"852,386","852,839","852,119",721
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Practice Nurse,"4,023","58,464","3,960",63,"56,181","2,282",98.40%,23.45,"57,624","59,941","56,181","3,760"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Practice Nurse,309,"6,424",303,6,"5,858",566,98.10%,50.18,"6,089","6,725","5,858",867
Australia,Australia,2024-25 Q3 (Mar Qtr),Other Allied Health,"3,978,509","332,731,827","1,629,796","2,348,713","117,238,168","215,493,659",41.00%,78.2,"385,022,452","516,394,836","117,238,168","399,156,669"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Other Allied Health,"1,252,904","104,401,799","522,791","730,113","37,954,473","66,447,326",41.70%,78.33,"120,607,548","161,590,713","37,954,473","123,636,240"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Other Allied Health,"1,179,732","98,080,503","457,625","722,107","32,576,430","65,504,073",38.80%,76.82,"113,393,240","153,551,758","32,576,430","120,975,328"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Other Allied Health,"760,231","63,431,161","338,504","421,727","24,540,941","38,890,220",44.50%,80.68,"73,516,765","97,457,514","24,540,941","72,916,572"
SA,South Australia,2024-25 Q3 (Mar Qtr),Other Allied Health,"298,539","23,982,055","151,079","147,460","10,321,741","13,660,314",50.60%,70.14,"27,972,352","34,325,030","10,321,741","24,003,289"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Other Allied Health,"353,722","30,679,686","129,173","224,549","9,204,135","21,475,551",36.50%,81.09,"35,516,288","48,888,552","9,204,135","39,684,417"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Other Allied Health,"73,159","6,482,451","16,750","56,409","1,506,304","4,976,148",22.90%,62.44,"7,550,691","10,004,892","1,506,304","8,498,589"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Other Allied Health,"12,758","1,045,345","6,239","6,519","484,068","561,276",48.90%,85.67,"1,219,515","1,603,825","484,068","1,119,757"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Other Allied Health,"46,939","4,594,129","7,178","39,761","620,989","3,973,141",15.30%,109.14,"5,205,258","8,933,625","620,989","8,312,636"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Other Allied Health,525,"34,698",457,68,"29,087","5,611",87.00%,62.21,"40,795","38,928","29,087","9,841"
Australia,Australia,2024-25 Q3 (Mar Qtr),Specialist Attendances,"8,593,935","754,077,789","2,378,238","6,215,697","212,395,687","541,682,102",27.70%,140.74,"892,471,802","1,478,579,289","212,395,687","1,266,183,602"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Specialist Attendances,"2,945,570","264,395,240","889,002","2,056,568","81,803,438","182,591,802",30.20%,148.89,"311,188,571","523,596,483","81,803,438","441,793,045"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Specialist Attendances,"2,426,926","216,282,847","700,438","1,726,488","64,296,190","151,986,657",28.90%,132.17,"256,496,680","404,431,200","64,296,190","340,135,010"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Specialist Attendances,"1,633,960","140,438,395","403,333","1,230,627","34,204,120","106,234,275",24.70%,145.19,"167,029,289","282,814,097","34,204,120","248,609,977"
SA,South Australia,2024-25 Q3 (Mar Qtr),Specialist Attendances,"598,680","49,512,599","173,480","425,200","14,246,499","35,266,100",29.00%,113.52,"58,862,974","91,711,801","14,246,499","77,465,303"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Specialist Attendances,"704,177","58,769,502","141,584","562,593","11,476,180","47,293,322",20.10%,144.98,"69,890,781","125,015,148","11,476,180","113,538,968"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Specialist Attendances,"136,674","11,186,453","32,475","104,199","2,844,259","8,342,194",23.80%,117.37,"13,270,194","21,359,830","2,844,259","18,515,571"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Specialist Attendances,"27,871","2,461,600","8,798","19,073","831,980","1,629,620",31.60%,140.08,"2,929,056","4,761,648","831,980","3,929,668"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Specialist Attendances,"119,750","10,996,146","28,974","90,776","2,675,687","8,320,459",24.20%,172.9,"12,763,291","24,834,601","2,675,687","22,158,914"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Specialist Attendances,327,"35,007",154,173,"17,334","17,673",47.10%,139.67,"40,965","54,482","17,334","37,148"
Australia,Australia,2024-25 Q3 (Mar Qtr),Obstetrics,"369,059","43,532,979","188,669","180,390","10,394,869","33,138,110",51.10%,397,"49,157,081","126,347,785","10,394,869","115,952,916"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Obstetrics,"124,086","15,956,806","62,587","61,499","3,569,433","12,387,373",50.40%,473.03,"17,444,924","48,476,061","3,569,433","44,906,627"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Obstetrics,"102,132","11,577,341","71,123","31,009","3,710,821","7,866,521",69.60%,666.45,"13,297,222","33,782,147","3,710,821","30,071,326"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Obstetrics,"68,585","7,466,062","26,573","42,012","1,470,560","5,995,503",38.70%,227.96,"8,688,239","19,815,241","1,470,560","18,344,682"
SA,South Australia,2024-25 Q3 (Mar Qtr),Obstetrics,"21,366","2,536,318","7,928","13,438","483,402","2,052,916",37.10%,272.07,"2,889,747","6,989,648","483,402","6,506,246"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Obstetrics,"40,677","4,647,715","15,577","25,100","929,811","3,717,904",38.30%,262.25,"5,325,366","12,962,428","929,811","12,032,617"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Obstetrics,"4,927","588,482","2,077","2,850","103,766","484,717",42.20%,310.66,"690,628","1,695,029","103,766","1,591,264"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Obstetrics,"2,642","198,042","1,656",986,"60,544","137,498",62.70%,239.29,"228,371","444,186","60,544","383,642"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Obstetrics,"4,640","562,006","1,144","3,496","66,326","495,680",24.70%,435.06,"592,342","2,182,839","66,326","2,116,513"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Obstetrics,4,206,4, -   ,206, -   ,100.00%, - ,243,206,206, -   
Australia,Australia,2024-25 Q3 (Mar Qtr),Anaesthetics,"989,895","150,667,389","92,974","896,921","10,497,911","140,169,478",9.40%,248.52,"195,610,792","394,099,440","10,497,911","383,601,529"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Anaesthetics,"310,891","48,494,455","34,155","276,736","3,821,938","44,672,517",11.00%,207.32,"63,686,857","129,189,832","3,821,938","125,367,895"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Anaesthetics,"251,368","37,891,884","22,309","229,059","2,356,692","35,535,192",8.90%,255.12,"48,274,461","99,310,679","2,356,692","96,953,987"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Anaesthetics,"204,853","31,084,875","25,077","179,776","2,868,306","28,216,569",12.20%,248.8,"40,308,139","80,934,683","2,868,306","78,066,377"
SA,South Australia,2024-25 Q3 (Mar Qtr),Anaesthetics,"76,708","11,155,250","5,467","71,241","740,905","10,414,345",7.10%,209.84,"14,708,397","27,198,426","740,905","26,457,522"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Anaesthetics,"109,883","16,597,230","4,760","105,123","573,256","16,023,974",4.30%,427.79,"21,485,234","41,204,484","573,256","40,631,227"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Anaesthetics,"18,813","2,864,755",299,"18,514","36,170","2,828,586",1.60%,145.36,"3,776,351","8,062,450","36,170","8,026,280"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Anaesthetics,"4,090","639,015",210,"3,880","29,244","609,772",5.10%,209.93,"836,653","1,897,232","29,244","1,867,988"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Anaesthetics,"13,276","1,931,098",696,"12,580","71,217","1,859,881",5.20%,224.71,"2,531,164","6,286,687","71,217","6,215,470"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Anaesthetics,13,"8,826",1,12,184,"8,642",7.70%,"1,138.55","3,536","14,967",184,"14,783"
Australia,Australia,2024-25 Q3 (Mar Qtr),Total Pathology,"42,154,117","956,508,220","38,072,008","4,082,109","866,001,174","90,507,045",90.30%,26.71,"1,131,738,615","1,012,848,292","862,259,327","150,588,965"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Total Pathology,"14,184,623","325,152,928","12,647,461","1,537,162","292,877,950","32,274,977",89.20%,28.56,"385,030,170","343,477,749","291,778,847","51,698,903"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Total Pathology,"10,607,017","235,073,365","9,690,493","916,524","213,856,534","21,216,832",91.40%,25.16,"277,647,868","249,541,153","212,790,799","36,750,355"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Total Pathology,"8,766,484","203,206,754","7,941,064","825,420","184,458,772","18,747,982",90.60%,24.65,"240,603,373","215,244,345","183,689,990","31,554,355"
SA,South Australia,2024-25 Q3 (Mar Qtr),Total Pathology,"2,779,258","60,096,102","2,472,916","306,342","53,408,659","6,687,442",89.00%,28.46,"71,191,002","64,051,451","53,105,122","10,946,329"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Total Pathology,"4,056,792","93,575,433","3,671,995","384,797","84,903,455","8,671,978",90.50%,29.59,"110,767,878","99,237,775","84,544,001","14,693,774"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Total Pathology,"855,382","18,496,438","789,025","66,357","16,920,094","1,576,344",92.20%,33.78,"21,885,830","19,484,534","16,863,387","2,621,147"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Total Pathology,"275,411","6,342,537","269,140","6,271","6,133,504","209,032",97.70%,46.03,"7,453,570","6,480,441","6,114,059","366,382"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Total Pathology,"623,710","14,446,740","584,634","39,076","13,326,703","1,120,037",93.70%,21.44,"17,021,809","15,212,633","13,259,130","1,953,503"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Total Pathology,"5,440","117,923","5,280",160,"115,503","2,420",97.10%,42.03,"137,115","118,211","113,992","4,219"
Australia,Australia,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"7,938,861","1,334,652,535","6,081,780","1,857,081","1,051,078,089","283,574,447",76.60%,140.29,"1,449,621,577","1,570,606,591","1,051,078,089","519,528,502"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"2,769,138","471,183,740","2,145,755","623,383","373,167,269","98,016,471",77.50%,135.64,"512,749,104","543,702,842","373,167,269","170,535,573"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"2,009,973","328,321,309","1,583,175","426,798","264,978,588","63,342,721",78.80%,146.22,"355,198,642","385,425,651","264,978,588","120,447,063"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"1,610,147","273,668,296","1,217,854","392,293","214,509,465","59,158,831",75.60%,141.24,"296,825,476","326,388,841","214,509,465","111,879,377"
SA,South Australia,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"513,466","88,264,339","376,388","137,078","65,957,113","22,307,226",73.30%,153.39,"96,334,481","106,866,538","65,957,113","40,909,425"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"781,793","130,618,062","594,300","187,493","103,733,858","26,884,205",76.00%,119.88,"141,808,733","152,382,895","103,733,858","48,649,037"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"124,020","20,019,194","84,391","39,629","14,010,375","6,008,819",68.00%,145.23,"21,934,911","25,316,028","14,010,375","11,305,653"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"38,013","5,948,049","32,500","5,513","5,163,914","784,135",85.50%,162.7,"6,375,501","6,783,303","5,163,914","1,619,389"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,"91,831","16,552,458","46,967","44,864","9,485,054","7,067,405",51.10%,162.83,"18,312,886","23,660,746","9,485,054","14,175,693"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,480,"77,088",450,30,"72,453","4,635",93.80%,114.39,"81,842","79,747","72,453","7,294"
Australia,Australia,2024-25 Q3 (Mar Qtr),Total Operations,"3,031,183","622,371,823","1,043,983","1,987,200","120,236,940","502,134,883",34.40%,130.03,"790,120,324","1,342,507,091","120,236,940","1,222,270,151"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Total Operations,"998,283","206,315,248","380,896","617,387","46,133,455","160,181,793",38.20%,146.74,"260,521,937","456,439,821","46,133,455","410,306,366"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Total Operations,"634,504","141,838,434","166,785","467,719","21,320,982","120,517,451",26.30%,130.28,"181,490,141","304,625,347","21,320,982","283,304,364"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Total Operations,"758,873","136,181,274","319,179","439,694","33,393,352","102,787,922",42.10%,123.28,"171,471,769","291,576,878","33,393,352","258,183,525"
SA,South Australia,2024-25 Q3 (Mar Qtr),Total Operations,"204,748","46,698,268","60,047","144,701","7,206,903","39,491,365",29.30%,103.98,"60,218,070","94,358,720","7,206,903","87,151,817"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Total Operations,"325,452","66,793,784","94,120","231,332","9,580,613","57,213,171",28.90%,106.96,"85,221,065","136,355,838","9,580,613","126,775,225"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Total Operations,"58,589","13,219,997","11,918","46,671","1,277,524","11,942,474",20.30%,82.94,"17,008,525","27,860,175","1,277,524","26,582,651"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Total Operations,"13,225","2,657,384","5,080","8,145","563,830","2,093,554",38.40%,116.85,"3,386,583","5,994,806","563,830","5,430,976"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Total Operations,"37,444","8,657,352","5,916","31,528","755,583","7,901,768",15.80%,203.83,"10,791,098","25,281,388","755,583","24,525,805"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Total Operations,65,"10,082",42,23,"4,697","5,385",64.60%,118.99,"11,136","14,118","4,697","9,421"
Australia,Australia,2024-25 Q3 (Mar Qtr),Optometry,"2,922,596","157,852,996","2,752,616","169,980","148,874,778","8,978,218",94.20%,42.11,"185,634,456","165,010,559","148,874,778","16,135,781"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Optometry,"928,397","50,106,532","885,613","42,784","47,828,351","2,278,181",95.40%,38.91,"58,924,686","51,771,277","47,828,351","3,942,926"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Optometry,"746,705","40,425,394","698,111","48,594","37,810,306","2,615,088",93.50%,40.47,"47,541,439","42,392,205","37,810,306","4,581,899"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Optometry,"626,309","33,644,126","585,148","41,161","31,529,329","2,114,797",93.40%,43.29,"39,562,347","35,425,867","31,529,329","3,896,539"
SA,South Australia,2024-25 Q3 (Mar Qtr),Optometry,"212,229","11,511,138","202,511","9,718","10,990,034","521,104",95.40%,43.83,"13,539,218","11,937,089","10,990,034","947,055"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Optometry,"281,721","15,347,041","264,266","17,455","14,440,511","906,530",93.80%,48.71,"18,050,019","16,197,240","14,440,511","1,756,729"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Optometry,"59,970","3,212,996","56,142","3,828","3,005,659","207,337",93.60%,30.41,"3,779,205","3,329,406","3,005,659","323,747"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Optometry,"18,640","1,004,941","18,186",454,"983,545","21,396",97.60%,45.17,"1,182,116","1,025,449","983,545","41,904"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Optometry,"48,438","2,590,368","42,455","5,983","2,276,743","313,625",87.60%,55.32,"3,043,118","2,921,358","2,276,743","644,615"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Optometry,187,"10,462",184,3,"10,301",162,98.40%,68.47,"12,307","10,668","10,301",367
Australia,Australia,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"340,449","222,888,908","247,268","93,181","140,833,794","82,055,114",72.60%,165.35,"213,282,991","239,478,153","140,833,794","98,644,359"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"98,121","64,255,120","74,614","23,507","43,068,050","21,187,071",76.00%,175.82,"62,368,859","68,617,111","43,068,050","25,549,061"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"84,052","52,010,853","64,269","19,783","35,057,413","16,953,439",76.50%,161.92,"51,316,250","55,721,106","35,057,413","20,663,692"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"80,609","53,951,619","53,804","26,805","30,950,664","23,000,955",66.70%,163.31,"49,511,749","58,695,391","30,950,664","27,744,727"
SA,South Australia,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"23,990","16,766,015","13,430","10,560","8,389,855","8,376,160",56.00%,122.56,"15,892,035","18,100,777","8,389,855","9,710,921"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"40,762","27,373,535","31,566","9,196","18,051,715","9,321,820",77.40%,199.76,"26,044,309","29,223,300","18,051,715","11,171,586"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"6,374","4,245,931","4,160","2,214","2,186,568","2,059,363",65.30%,158.32,"3,915,185","4,614,347","2,186,568","2,427,780"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"2,138","1,299,520","1,962",176,"1,144,070","155,450",91.80%,175.91,"1,356,479","1,330,436","1,144,070","186,367"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"4,389","2,985,577","3,449",940,"1,984,720","1,000,856",78.60%,200.08,"2,877,256","3,174,946","1,984,720","1,190,226"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,14,738,14, -   ,738, -   ,100.00%, - ,869,738,738, -   
Australia,Australia,2024-25 Q3 (Mar Qtr),Other MBS Services,"3,246,294","758,984,749","1,973,428","1,272,866","590,699,322","168,285,427",60.80%,139.76,"868,710,835","903,668,955","590,699,322","312,969,632"
NSW,New South Wales,2024-25 Q3 (Mar Qtr),Other MBS Services,"1,061,280","249,181,489","657,012","404,268","194,540,372","54,641,117",61.90%,149.99,"286,143,592","296,748,661","194,540,372","102,208,288"
Vic,Victoria,2024-25 Q3 (Mar Qtr),Other MBS Services,"774,740","193,786,316","500,185","274,555","151,901,009","41,885,307",64.60%,165.66,"220,261,649","229,899,741","151,901,009","77,998,732"
Qld,Queensland,2024-25 Q3 (Mar Qtr),Other MBS Services,"701,176","158,784,183","408,848","292,328","125,283,299","33,500,884",58.30%,126.27,"182,440,118","188,020,074","125,283,299","62,736,775"
SA,South Australia,2024-25 Q3 (Mar Qtr),Other MBS Services,"234,936","54,703,320","129,209","105,727","41,322,099","13,381,221",55.00%,112.8,"62,806,014","65,386,384","41,322,099","24,064,285"
WA,Western Australia,2024-25 Q3 (Mar Qtr),Other MBS Services,"343,598","69,090,811","199,665","143,933","51,449,604","17,641,207",58.10%,116.19,"79,203,545","84,016,953","51,449,604","32,567,349"
Tas,Tasmania,2024-25 Q3 (Mar Qtr),Other MBS Services,"59,506","17,731,055","33,335","26,171","14,356,452","3,374,603",56.00%,95.74,"20,402,351","20,006,198","14,356,452","5,649,746"
NT,Northern Australia,2024-25 Q3 (Mar Qtr),Other MBS Services,"22,318","7,382,269","18,141","4,177","6,549,803","832,466",81.30%,205.89,"8,163,964","8,160,328","6,549,803","1,610,525"
ACT,Australian Capital Territory,2024-25 Q3 (Mar Qtr),Other MBS Services,"48,015","8,136,395","26,366","21,649","5,113,516","3,022,878",54.90%,151.72,"9,066,835","11,237,298","5,113,516","6,123,781"
Unk,Unknown,2024-25 Q3 (Mar Qtr),Other MBS Services,725,"188,912",667,58,"183,168","5,744",92.00%,85.06,"222,767","193,319","183,168","10,151"
Australia,Australia,2024-25 Q4 (Jun Qtr),Total Medicare,"122,546,623","8,288,169,650","92,796,413","29,750,210","5,489,214,984","2,798,954,666",75.70%,88.68,"9,081,751,070","11,303,194,249","5,484,896,078","5,818,298,171"
NSW,New South Wales,2024-25 Q4 (Jun Qtr),Total Medicare,"40,859,179","2,768,582,762","31,560,517","9,298,662","1,884,100,338","884,482,424",77.20%,96.49,"3,036,415,843","3,756,609,471","1,882,812,622","1,873,796,850"
Vic,Victoria,2024-25 Q4 (Jun Qtr),Total Medicare,"32,152,028","2,151,521,864","24,475,308","7,676,720","1,431,147,931","720,373,933",76.10%,87.4,"2,355,030,874","2,913,381,417","1,429,982,623","1,483,398,793"
Qld,Queensland,2024-25 Q4 (Jun Qtr),Total Medicare,"25,040,372","1,709,342,726","18,852,195","6,188,177","1,133,388,251","575,954,475",75.30%,86.04,"1,867,008,542","2,331,742,639","1,132,519,696","1,199,222,943"
SA,South Australia,2024-25 Q4 (Jun Qtr),Total Medicare,"8,165,910","555,383,783","6,029,926","2,135,984","352,585,902","202,797,880",73.80%,78.32,"613,489,053","751,164,952","352,247,896","398,917,056"
WA,Western Australia,2024-25 Q4 (Jun Qtr),Total Medicare,"11,513,192","781,560,573","8,366,442","3,146,750","492,052,037","289,508,535",72.70%,82.2,"859,305,314","1,083,522,976","491,565,917","591,957,059"
Tas,Tasmania,2024-25 Q4 (Jun Qtr),Total Medicare,"2,390,264","160,663,733","1,787,558","602,706","101,291,925","59,371,808",74.80%,80.65,"177,043,439","221,303,340","101,234,523","120,068,817"
NT,Northern Australia,2024-25 Q4 (Jun Qtr),Total Medicare,"717,014","47,073,661","600,906","116,108","36,478,812","10,594,849",83.80%,80.52,"51,047,882","59,581,373","36,435,151","23,146,222"
ACT,Australian Capital Territory,2024-25 Q4 (Jun Qtr),Total Medicare,"1,692,371","113,039,411","1,107,957","584,414","57,227,823","55,811,588",65.50%,98.64,"121,335,734","184,830,649","57,156,494","127,674,156"
Unk,Unknown,2024-25 Q4 (Jun Qtr),Total Medicare,"16,293","1,001,138","15,604",689,"941,964","59,174",95.80%,91.28,"1,074,388","1,057,432","941,157","116,276"
Australia,Australia,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"43,733,040","2,503,525,272","34,629,203","9,103,837","2,015,458,999","488,066,274",79.20%,51.68,"2,493,398,001","2,973,073,686","2,015,458,999","957,614,688"
NSW,New South Wales,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"14,263,360","812,973,181","11,894,100","2,369,260","684,926,429","128,046,752",83.40%,51.21,"809,655,598","933,935,351","684,926,429","249,008,922"
Vic,Victoria,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"11,951,766","673,662,341","9,564,885","2,386,881","545,235,197","128,427,144",80.00%,51.18,"671,060,266","795,597,503","545,235,197","250,362,307"
Qld,Queensland,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"8,852,226","516,143,447","6,849,335","2,002,891","408,731,113","107,412,335",77.40%,52.6,"513,774,842","621,257,072","408,731,113","212,525,959"
SA,South Australia,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"2,887,253","165,631,407","2,207,975","679,278","129,771,033","35,860,375",76.50%,47.06,"165,467,357","197,581,427","129,771,033","67,810,394"
WA,Western Australia,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"4,021,297","231,114,079","2,892,859","1,128,438","172,655,714","58,458,364",71.90%,51.1,"230,389,218","288,720,091","172,655,714","116,064,377"
Tas,Tasmania,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"884,240","52,175,541","665,855","218,385","39,980,733","12,194,809",75.30%,61.3,"52,057,129","65,541,643","39,980,733","25,560,911"
NT,Northern Australia,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"261,906","17,118,093","203,670","58,236","14,027,501","3,090,593",77.80%,48.55,"17,043,022","19,943,925","14,027,501","5,916,424"
ACT,Australian Capital Territory,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"603,099","34,201,617","342,745","260,354","19,633,295","14,568,323",56.80%,60.63,"33,444,790","49,984,268","19,633,295","30,350,974"
Unk,Unknown,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"7,893","505,565","7,779",114,"497,985","7,580",98.60%,60.61,"505,779","512,405","497,985","14,420"
Australia,Australia,2024-25 Q4 (Jun Qtr),Practice Nurse,"1,055,454","17,223,359","1,036,411","19,043","15,647,640","1,575,719",98.20%,20.73,"16,242,395","17,618,145","15,647,640","1,970,505"
NSW,New South Wales,2024-25 Q4 (Jun Qtr),Practice Nurse,"331,477","5,151,568","326,659","4,818","4,779,641","371,927",98.50%,21.74,"4,924,754","5,256,335","4,779,641","476,694"
